fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality
5.4,0.781,0.225,3.16,0.162,14.8,40.3,0.9966,3.12,0.594,11.42,5
8.48,0.438,0.422,3.48,0.046,38.2,55.6,0.9943,3.54,0.617,11.96,6
7.68,0.708,0.087,3.28,0.128,10.3,51.8,0.9993,3.42,0.474,10.25,3
10.63,1.001,0.339,2.5,0.145,22.1,66.4,0.9992,3.23,0.71,10.16,3
9.46,0.669,0.475,3.01,0.089,9.7,9.8,0.9965,3.34,0.588,11.44,6
8.88,0.773,0.714,3.76,0.036,18.3,48.7,1.0005,3.46,0.688,11.44,5
8.68,0.638,0.379,3.0,0.073,7.6,33.9,0.9973,3.54,0.375,9.28,4
8.32,0.479,0.566,0.44,0.102,25.9,72.6,0.9986,3.29,0.733,12.18,6
10.07,0.427,0.143,2.65,0.061,35.8,88.9,0.996,3.17,0.688,9.57,5
6.96,0.267,0.278,1.41,0.168,31.2,71.0,0.9957,3.33,0.703,11.53,6
8.38,0.826,0.418,1.39,0.105,18.1,49.2,0.9976,3.42,0.519,9.86,3
8.11,0.52,0.691,1.76,0.069,14.8,37.7,1.0,2.94,0.53,8.5,4
5.57,0.653,0.276,4.49,0.157,9.6,50.6,0.9975,3.37,0.627,9.15,4
8.93,0.526,0.275,0.41,0.015,25.9,64.3,0.9959,3.34,0.473,12.16,5
8.61,0.505,0.319,2.44,0.072,6.8,20.0,0.9964,3.19,0.573,13.05,6
6.24,0.617,0.595,0.68,0.094,13.1,39.7,0.9976,3.33,0.396,11.1,6
8.71,0.537,0.156,2.37,0.058,11.0,38.0,0.9961,3.34,0.398,10.9,5
6.33,0.529,0.557,1.04,0.114,27.1,36.2,0.9951,3.24,0.734,11.6,6
8.1,0.727,0.48,2.42,0.054,19.9,31.2,0.9963,3.07,0.623,10.94,4
7.22,0.171,0.126,0.76,0.084,12.5,37.7,0.9981,3.24,0.655,9.31,6
10.47,0.863,0.18,4.55,0.095,10.7,48.7,0.9944,3.55,0.456,9.57,5
7.72,0.55,0.081,0.66,0.081,3.2,38.4,0.9935,3.43,0.57,11.64,5
7.05,0.55,0.288,2.52,0.022,1.3,30.4,0.9944,3.0,0.745,11.87,5
8.71,0.335,0.816,2.44,0.134,22.5,58.6,0.9964,3.24,0.607,9.3,4
8.2,0.325,0.234,1.61,0.087,32.8,68.1,0.9983,3.45,0.639,12.39,7
8.46,0.757,0.189,3.92,0.131,26.7,34.5,1.0,3.48,0.625,8.5,3
9.71,0.597,0.095,0.45,0.15,31.3,71.5,0.9962,3.07,0.638,10.22,4
8.81,0.506,0.375,1.95,0.093,29.2,41.6,0.9954,3.33,0.706,9.88,6
8.79,0.453,0.093,0.88,0.044,24.2,45.4,0.9963,3.3,0.295,10.63,5
9.85,0.572,0.0,4.12,0.159,30.6,77.7,0.9954,3.26,0.626,11.09,5
9.94,0.68,0.373,2.34,0.119,30.2,75.4,0.9966,3.4,0.56,10.17,5
4.11,0.655,0.018,2.52,0.099,19.1,64.8,0.9957,3.01,0.725,11.97,5
7.59,0.376,0.188,1.19,0.037,5.4,54.2,0.9966,3.48,0.641,9.61,5
7.79,0.661,0.277,2.45,0.06,23.5,32.7,0.9982,3.34,0.797,10.69,5
7.81,0.456,0.2,3.24,0.06,10.3,54.6,0.9996,3.16,0.512,10.75,4
10.07,0.515,0.0,3.9,0.061,22.7,53.7,0.9976,3.18,0.83,11.09,7
9.86,0.516,0.267,0.12,0.069,31.1,56.7,0.9976,3.48,0.729,11.46,6
8.71,0.263,0.323,3.01,0.054,29.3,57.7,0.9966,3.28,0.393,11.46,6
7.32,0.553,0.214,3.63,0.093,13.7,36.1,0.995,3.15,0.713,9.14,6
8.74,0.565,0.0,2.73,0.127,17.3,49.3,0.9957,3.47,0.826,11.9,6
6.29,0.712,0.394,3.28,0.103,6.6,44.5,1.0004,3.14,0.657,9.52,4
8.81,0.654,0.216,4.17,0.098,27.9,51.6,0.9948,3.3,0.847,9.67,5
5.41,0.628,0.114,0.75,0.023,8.8,21.0,0.9935,3.18,0.323,8.75,5
11.41,0.534,0.344,2.7,0.068,7.3,49.7,0.9969,3.52,0.41,10.27,4
6.23,0.615,0.187,1.08,0.096,34.2,60.2,0.9949,3.32,0.936,9.7,5
8.76,0.614,0.337,2.9,0.067,26.9,60.2,0.9999,3.22,0.71,12.51,5
6.7,0.357,0.0,3.07,0.068,5.7,32.3,0.9967,3.32,0.56,10.62,6
9.07,0.286,0.365,0.98,0.151,13.1,27.3,0.9947,3.27,0.573,8.82,5
5.98,0.652,0.142,2.19,0.115,8.6,21.8,0.9963,3.21,0.858,11.29,5
9.01,0.825,0.0,3.22,0.091,24.8,67.4,0.9984,3.49,0.73,10.21,4
8.76,0.588,0.381,0.51,0.059,1.0,33.8,0.9959,3.39,0.766,9.82,4
10.03,0.571,0.408,6.75,0.044,3.0,23.5,0.9978,3.37,0.902,10.55,6
10.23,0.82,0.011,1.56,0.134,18.8,47.4,0.9944,3.55,0.548,10.92,4
5.12,0.547,0.2,2.43,0.061,15.5,56.7,0.9975,3.37,0.682,11.6,6
9.87,0.687,0.046,0.89,0.096,11.9,26.4,0.9952,3.36,0.491,10.17,5
10.12,0.327,0.284,2.6,0.108,12.0,47.5,0.9951,3.36,0.752,10.24,6
6.69,0.548,0.741,4.1,0.118,21.7,26.4,0.9956,3.15,0.68,10.67,6
6.27,0.766,0.082,2.38,0.056,4.7,87.2,0.996,3.49,0.594,12.15,6
9.94,0.423,0.344,1.88,0.034,9.3,52.3,0.9967,3.18,0.683,12.37,8
6.97,0.487,0.15,3.41,0.047,27.7,69.8,0.9976,3.48,0.753,11.02,6
5.95,0.327,0.0,1.62,0.116,0.0,33.3,0.9969,3.32,0.795,11.14,6
5.24,0.766,0.264,1.94,0.063,25.0,25.1,0.9975,3.33,0.561,8.5,3
7.27,0.719,0.423,1.57,0.094,12.4,29.7,0.9967,3.31,0.478,8.75,4
7.74,0.496,0.143,1.45,0.104,9.1,35.7,0.9973,3.55,0.387,9.68,5
11.02,0.686,0.387,0.09,0.15,18.2,34.5,0.9985,3.54,0.788,11.5,5
8.98,0.477,0.304,3.77,0.131,11.1,46.9,0.9945,3.12,0.394,10.26,5
10.76,0.497,0.144,3.38,0.064,9.0,43.9,0.9983,3.32,0.801,9.73,5
8.11,0.658,0.327,2.49,0.07,20.3,70.0,0.996,3.36,0.836,10.05,3
7.4,0.696,0.357,1.81,0.033,10.9,46.5,0.9989,3.21,0.568,11.58,5
9.01,0.583,0.199,2.51,0.108,4.3,27.0,0.9965,3.13,0.85,10.85,6
9.06,0.436,0.089,1.61,0.038,14.8,46.0,0.9972,3.47,0.853,10.92,4
7.43,0.393,0.166,3.84,0.127,5.1,41.2,0.9959,3.34,0.833,9.89,5
8.28,0.313,0.057,3.48,0.097,24.5,73.2,0.9989,3.34,0.597,10.23,5
8.56,0.63,0.0,0.55,0.121,6.3,25.4,0.996,3.27,0.639,11.43,5
9.77,0.714,0.738,0.34,0.071,18.9,42.5,0.9951,3.25,0.859,11.59,6
8.61,0.244,0.162,3.51,0.066,11.8,53.2,0.9994,3.45,0.515,11.69,6
8.97,0.77,0.054,2.34,0.099,12.8,48.4,0.9933,3.44,0.762,10.23,5
7.09,0.646,0.0,2.69,0.113,31.7,67.9,0.9971,3.22,0.785,10.36,5
6.85,0.418,0.101,2.36,0.002,17.1,66.7,0.9937,3.03,0.613,9.18,6
9.55,0.638,0.488,1.34,0.038,27.9,44.4,0.9963,3.19,0.278,9.11,5
7.83,0.715,0.422,1.4,0.043,33.6,63.1,0.9993,3.3,0.615,8.89,3
9.38,0.655,0.292,1.34,0.002,34.2,68.3,0.9959,3.21,0.914,8.82,4
5.82,0.434,0.42,3.18,0.085,25.8,49.0,0.9972,3.25,0.613,9.64,6
10.82,0.444,0.15,0.61,0.085,8.5,50.9,1.0012,3.41,0.578,9.2,4
10.11,0.539,0.28,0.66,0.065,13.7,24.9,0.9943,3.42,0.407,11.14,5
6.95,0.503,0.368,1.29,0.084,5.6,23.9,0.9944,3.5,0.592,11.24,5
10.0,0.566,0.273,2.8,0.065,22.2,59.8,0.9998,3.4,0.955,12.11,5
6.9,0.428,0.525,2.65,0.105,25.4,61.3,0.9946,3.37,0.925,12.71,6
11.0,0.817,0.401,1.45,0.107,7.5,25.5,0.9974,2.99,0.605,9.89,5
8.39,0.356,0.041,3.0,0.123,7.7,25.9,0.9955,3.25,0.88,9.58,4
11.92,0.552,0.105,2.21,0.106,6.5,58.4,0.9979,3.48,0.558,9.18,4
7.19,0.2,0.595,2.35,0.041,6.2,51.3,0.9943,3.21,0.537,9.81,6
10.21,0.567,0.329,1.03,0.114,0.5,18.3,0.9995,3.31,0.68,8.71,5
8.13,0.65,0.28,1.38,0.092,8.5,31.7,0.9962,3.44,0.781,10.07,4
10.17,0.456,0.146,2.46,0.137,7.8,17.0,0.9975,3.11,0.355,10.69,4
9.27,0.609,0.128,1.22,0.055,29.0,45.8,0.9963,3.49,0.79,11.29,5
6.42,0.452,0.297,3.85,0.097,12.4,15.6,0.9966,3.23,0.653,9.06,6
9.63,0.601,0.05,0.36,0.137,16.0,34.0,0.9964,3.04,0.719,10.21,5
10.92,0.382,0.556,0.58,0.101,20.8,41.2,0.9991,3.16,0.64,11.01,6
8.72,0.312,0.67,2.06,0.051,16.3,81.3,0.9945,3.66,0.734,9.96,5
9.17,0.961,0.071,4.11,0.066,5.9,11.2,0.998,3.26,0.618,8.87,4
8.0,0.755,0.552,3.63,0.029,1.9,33.9,0.9977,3.17,0.473,10.55,5
9.38,0.695,0.183,3.17,0.099,14.3,59.3,0.9951,3.45,0.832,10.11,5
7.71,0.407,0.334,2.81,0.104,19.9,65.1,0.9972,3.48,0.471,9.32,5
6.61,0.526,0.069,2.99,0.073,33.3,90.1,0.9938,3.21,0.826,12.57,6
9.17,0.335,0.245,3.88,0.073,0.6,19.1,0.9971,3.48,0.523,10.44,5
7.37,0.363,0.425,3.39,0.125,22.8,62.8,0.9999,3.28,0.946,10.41,7
8.05,0.477,0.192,2.21,0.059,25.4,41.7,1.0014,3.29,0.42,9.82,5
10.15,0.477,0.0,4.57,0.134,23.5,48.9,0.9956,3.0,0.842,11.17,6
9.08,0.201,0.37,0.76,0.093,7.2,29.8,0.9975,3.78,0.53,9.8,4
7.75,0.386,0.358,2.72,0.008,9.7,39.8,0.9959,3.23,0.627,9.97,6
5.86,0.2,0.206,4.51,0.098,4.4,39.4,0.9949,3.27,0.789,12.7,7
6.87,0.824,0.174,0.83,0.088,9.0,54.3,0.9964,3.12,0.708,10.45,4
7.88,0.954,0.475,0.88,0.091,6.3,51.4,0.9963,3.27,0.78,9.1,4
6.8,0.287,0.061,1.76,0.069,15.8,57.7,0.9957,3.04,0.467,10.0,4
8.5,0.391,0.0,3.32,0.073,13.0,36.7,0.9963,3.54,0.721,10.28,6
5.18,0.262,0.549,0.54,0.114,5.2,55.8,0.995,3.32,0.584,8.99,6
9.81,0.117,0.439,2.02,0.047,9.0,45.8,1.0003,3.15,0.737,10.22,5
7.58,0.556,0.253,0.37,0.047,1.4,22.1,1.0005,3.19,0.968,11.2,5
8.6,0.733,0.315,3.47,0.046,20.6,77.1,0.9943,3.0,0.749,10.15,5
8.08,0.47,0.57,0.65,0.086,5.4,37.1,0.995,3.25,0.676,10.1,5
9.54,0.475,0.124,3.22,0.114,13.8,46.9,0.9955,3.23,0.51,8.5,3
7.08,0.563,0.488,1.59,0.015,15.9,46.7,0.996,3.5,0.606,9.98,6
9.35,0.535,0.099,3.62,0.08,23.1,68.4,1.0002,3.71,1.01,10.3,5
6.34,0.433,0.163,3.17,0.117,13.5,36.2,0.9958,3.27,0.21,8.65,3
11.17,0.382,0.319,1.68,0.059,9.0,36.1,0.9975,2.9,0.626,10.64,4
8.24,0.485,0.125,4.5,0.071,19.7,40.5,1.0,3.13,0.477,10.35,6
9.79,0.57,0.164,1.87,0.025,13.9,35.5,0.9973,3.43,0.559,10.49,5
9.33,0.237,0.443,2.01,0.073,6.9,37.0,0.9974,3.11,0.49,9.9,6
6.33,0.349,0.457,1.82,0.148,8.4,32.8,0.9945,3.43,0.889,11.58,6
10.25,0.473,0.308,1.68,0.081,11.9,67.6,0.9923,3.35,0.287,9.59,5
7.6,0.454,0.251,1.71,0.117,12.6,20.6,1.0002,3.08,0.905,10.02,5
6.99,0.877,0.243,0.65,0.036,9.9,18.5,0.9996,3.11,0.819,8.5,4
7.84,0.581,0.182,3.16,0.075,13.1,20.9,0.996,3.32,0.682,9.43,4
10.01,0.51,0.378,0.66,0.079,11.0,48.1,0.9955,3.3,0.443,8.53,4
5.84,0.971,0.309,1.47,0.144,26.7,50.4,0.9975,2.89,0.428,9.75,4
10.48,0.585,0.362,3.4,0.039,28.1,70.1,0.9966,3.3,0.462,9.13,5
11.93,0.767,0.076,1.16,0.075,0.3,27.3,0.9964,3.11,0.867,11.56,4
7.32,0.483,0.187,0.86,0.12,10.6,26.8,0.999,3.57,0.738,10.77,5
9.11,0.335,0.768,1.52,0.098,9.7,29.5,0.9982,3.45,0.603,9.59,5
8.88,0.457,0.245,2.64,0.139,19.2,65.9,0.9968,3.76,0.449,12.14,6
5.83,0.672,0.141,4.4,0.126,29.9,55.9,0.9974,3.36,0.437,9.88,4
8.22,0.623,0.43,2.81,0.153,22.5,91.8,0.9958,3.42,0.878,11.26,5
6.75,0.69,0.415,3.43,0.048,19.3,62.9,1.0,3.37,0.549,10.2,4
7.32,0.387,0.087,0.54,0.047,6.7,53.9,0.9986,3.11,0.423,9.37,5
5.29,0.416,0.187,0.24,0.114,24.5,45.1,0.9966,3.34,0.709,11.01,6
7.11,0.297,0.0,2.49,0.111,5.9,60.8,0.9959,3.2,0.718,9.72,5
8.31,0.297,0.173,3.26,0.153,12.4,45.9,0.9972,3.23,0.533,9.37,5
9.48,0.301,0.278,2.85,0.102,11.0,18.6,0.9951,3.37,0.465,10.03,6
7.55,0.531,0.261,3.65,0.095,7.3,13.2,0.9951,3.29,0.496,10.69,5
5.97,0.424,0.0,2.14,0.12,28.8,69.3,0.9965,3.28,0.772,13.01,6
9.78,0.136,0.551,3.87,0.212,14.3,40.3,0.9964,3.38,0.783,9.89,5
6.87,0.625,0.317,1.33,0.152,9.3,51.2,1.0002,3.43,0.584,11.13,6
7.5,0.485,0.0,3.16,0.071,17.6,57.9,0.9979,3.5,0.532,10.84,5
10.31,0.413,0.0,0.32,0.073,5.0,32.6,0.9947,3.22,0.531,11.57,5
9.73,0.44,0.136,3.87,0.088,11.3,70.7,0.9981,3.45,0.585,9.7,6
8.59,0.164,0.351,4.09,0.09,5.5,47.0,0.9973,3.35,0.895,11.59,7
7.39,0.205,0.374,3.2,0.088,12.5,39.9,0.9992,3.3,0.935,11.22,6
7.78,0.712,0.206,3.22,0.101,2.8,27.7,0.9974,3.44,0.857,11.67,5
9.01,0.636,0.22,3.03,0.114,1.9,6.6,0.9981,3.2,0.866,12.24,6
6.74,0.73,0.193,1.09,0.12,15.4,53.9,0.994,3.34,0.522,9.46,3
9.23,0.233,0.035,1.69,0.071,29.6,44.6,0.9973,3.22,1.189,9.62,6
8.75,0.277,0.417,2.32,0.044,28.0,39.8,0.9953,3.48,0.704,11.14,6
8.5,0.639,0.508,4.71,0.096,22.3,55.6,0.9941,3.46,0.62,11.86,5
7.8,0.28,0.436,2.51,0.094,16.5,37.8,0.9997,3.26,0.455,10.24,4
10.72,0.442,0.308,3.55,0.052,29.1,38.9,0.9949,3.45,0.344,9.42,5
8.49,0.512,0.563,2.29,0.14,17.7,27.6,0.9933,3.12,0.862,11.51,6
6.62,0.437,0.303,3.26,0.101,11.3,44.7,0.9967,3.54,0.829,11.3,4
6.97,0.685,0.379,1.45,0.089,15.4,44.0,0.9974,3.3,0.755,8.81,4
7.91,0.834,0.0,3.58,0.125,4.2,27.3,0.9979,3.48,0.617,11.87,5
9.19,0.349,0.024,2.55,0.073,27.8,59.7,0.9979,3.32,0.924,10.23,5
7.19,0.484,0.472,3.19,0.085,19.7,58.0,0.9935,3.19,0.675,10.59,6
8.72,0.749,0.0,1.2,0.11,11.7,56.7,0.9956,3.05,0.521,9.68,4
7.18,0.392,0.19,0.06,0.145,19.0,36.6,0.9921,3.26,0.554,9.01,4
5.5,0.366,0.083,2.31,0.137,1.6,10.0,0.998,3.27,0.639,10.76,5
7.8,0.764,0.364,0.93,0.052,18.7,46.3,0.997,3.28,0.755,10.94,5
8.89,0.565,0.048,3.44,0.065,12.4,62.0,0.999,3.38,0.641,10.62,6
9.8,0.626,0.493,2.08,0.122,18.9,53.4,0.9977,3.23,0.468,11.41,6
6.57,0.569,0.286,2.65,0.032,13.8,34.7,0.9934,3.32,0.344,12.64,6
5.14,0.389,0.024,4.88,0.124,13.1,41.2,0.9959,3.27,0.578,12.75,5
9.71,0.291,0.521,0.44,0.06,9.0,55.9,0.9984,3.31,0.41,11.76,6
6.24,0.777,0.0,0.78,0.081,14.4,50.0,0.9986,3.58,0.595,10.94,6
8.05,0.302,0.274,0.52,0.102,13.9,19.9,0.9957,3.26,0.679,10.63,6
9.4,0.343,0.194,0.16,0.115,19.7,39.2,0.9965,3.09,0.798,11.64,5
8.08,0.318,0.468,1.77,0.086,12.7,52.3,0.9946,3.34,0.544,12.14,6
9.56,0.1,0.147,2.83,0.049,1.5,39.8,0.9969,3.08,0.489,12.5,6
6.58,0.463,0.189,0.96,0.066,23.1,39.5,1.0001,3.3,0.646,9.82,4
7.94,0.549,0.219,2.93,0.162,25.7,52.7,0.9961,3.39,0.721,9.07,4
9.32,0.394,0.745,2.34,0.149,13.4,57.9,0.9963,3.06,0.638,9.69,6
7.93,0.47,0.063,0.26,0.078,26.0,63.8,0.9957,3.45,0.606,12.34,5
6.07,0.927,0.121,0.49,0.073,27.0,37.9,1.0002,3.41,0.885,11.22,5
9.6,0.473,0.126,2.49,0.126,1.4,52.8,0.9947,3.21,0.629,10.36,5
7.57,0.607,0.18,4.62,0.025,25.0,41.9,0.9984,3.51,0.935,11.85,7
9.26,0.12,0.101,0.82,0.073,11.5,29.6,0.9973,3.39,0.781,9.09,4
9.19,0.776,0.461,2.04,0.073,20.6,64.5,0.9987,3.25,0.759,11.44,5
7.44,0.611,0.42,1.39,0.079,34.8,60.9,0.9958,3.1,0.406,9.9,5
9.72,0.283,0.457,1.82,0.095,4.4,44.0,0.998,2.9,0.769,9.83,5
8.88,0.422,0.03,2.49,0.076,20.2,66.9,0.9979,3.47,0.586,9.95,6
11.3,0.318,0.24,2.14,0.09,1.0,43.9,0.9949,3.63,0.733,10.58,5
4.83,0.514,0.5,1.12,0.065,15.6,42.2,0.9977,3.16,0.783,9.54,5
7.19,0.564,0.168,3.41,0.078,14.2,79.1,0.9951,3.36,0.408,10.2,5
10.04,0.439,0.0,2.58,0.021,41.6,77.6,0.9966,3.16,0.421,12.16,6
7.23,0.45,0.0,1.33,0.061,1.3,54.8,0.9956,3.17,0.519,11.31,6
10.88,0.316,0.256,3.05,0.052,8.5,49.3,0.9992,3.48,0.66,11.81,6
6.21,0.664,0.604,2.08,0.066,17.7,51.6,0.9968,3.61,0.455,9.31,6
7.68,0.198,0.726,4.69,0.164,20.9,25.3,0.9981,3.39,0.36,10.21,7
8.13,0.656,0.302,3.05,0.085,0.4,21.5,0.9995,3.29,0.985,10.05,6
8.1,0.399,0.579,3.12,0.099,1.7,25.0,0.9973,3.05,0.764,11.53,6
8.13,0.387,0.103,1.7,0.133,20.0,41.6,0.9997,3.2,0.595,10.28,5
6.24,0.407,0.48,0.74,0.024,21.1,71.2,0.9975,3.11,0.839,10.32,6
5.52,0.927,0.022,2.68,0.1,11.8,36.9,0.9974,3.39,0.435,10.96,4
8.35,0.81,0.305,4.65,0.07,17.1,51.0,0.9958,3.21,0.533,9.65,4
9.83,0.384,0.299,2.0,0.133,12.6,17.4,0.9962,3.17,0.674,11.29,7
8.99,0.275,0.288,4.33,0.186,3.5,20.8,0.9956,3.11,0.239,8.71,4
8.02,0.636,0.328,4.27,0.098,16.8,39.1,0.9978,3.44,0.355,10.79,4
8.17,0.601,0.371,1.41,0.066,32.3,64.9,0.9971,3.37,0.68,9.29,6
8.16,0.612,0.155,2.75,0.122,14.3,33.9,0.9966,3.41,0.98,10.67,6
5.22,0.521,0.0,3.3,0.068,8.2,46.8,0.9977,3.22,0.708,9.59,5
8.25,0.764,0.043,4.42,0.007,31.8,34.4,0.9965,3.21,0.803,11.19,7
6.29,0.715,0.402,1.23,0.08,29.2,55.3,0.9976,3.48,0.453,9.12,5
8.61,0.33,0.72,2.83,0.121,14.1,50.3,0.9974,3.24,0.66,11.59,5
5.7,0.282,0.65,3.12,0.127,1.6,51.0,0.9971,3.42,0.565,11.54,5
8.5,0.432,0.359,0.41,0.058,17.7,45.7,0.9944,3.44,0.444,10.44,3
5.96,0.599,0.32,3.69,0.112,10.6,44.7,0.9929,3.31,0.62,9.76,5
7.38,0.571,0.255,3.58,0.079,10.9,73.5,0.9978,3.46,0.444,10.24,5
7.42,0.421,0.334,0.65,0.1,0.5,6.5,0.9986,3.43,0.971,9.54,5
6.69,0.539,0.372,3.6,0.113,16.3,43.5,0.9965,3.41,0.821,10.1,5
9.28,0.317,0.325,2.63,0.115,19.7,91.4,0.9966,3.21,0.552,11.24,5
8.31,0.679,0.472,0.04,0.134,29.9,66.1,1.0002,3.36,0.362,12.0,4
9.05,0.694,0.5,4.21,0.109,22.9,84.5,0.997,3.29,0.628,9.73,5
9.9,0.265,0.047,0.46,0.023,22.5,51.3,0.9965,3.34,0.92,11.54,5
10.06,0.449,0.432,0.64,0.062,15.8,49.3,0.9983,3.29,0.845,9.52,5
9.51,0.324,0.43,3.42,0.11,20.6,52.0,0.9947,3.47,0.656,9.57,5
8.61,0.431,0.0,5.16,0.106,31.1,60.6,0.9967,3.38,0.623,10.03,5
7.17,0.527,0.323,4.21,0.091,22.8,48.2,0.9975,3.37,0.537,10.38,4
11.06,0.641,0.168,2.01,0.067,13.4,76.7,0.9971,3.36,0.737,10.38,5
6.69,0.559,0.0,1.36,0.111,11.2,38.5,1.0003,3.03,0.519,11.4,4
7.09,0.453,0.187,2.43,0.134,7.1,24.3,1.0014,3.15,0.403,11.73,4
9.27,0.897,0.394,0.1,0.092,20.3,29.1,0.9939,3.08,0.762,10.46,5
10.51,0.591,0.389,0.28,0.052,14.9,44.0,0.9979,3.53,0.671,11.44,6
7.42,0.618,0.448,4.23,0.032,13.1,13.9,0.9989,3.36,0.672,9.93,5
9.62,0.716,0.113,3.12,0.085,22.9,47.9,0.9967,3.1,0.72,10.65,6
7.77,0.721,0.178,1.41,0.106,23.4,62.4,0.9951,3.34,0.638,12.5,5
9.32,0.523,0.187,3.12,0.051,6.7,20.9,0.9973,3.26,0.547,11.07,5
10.61,0.277,0.044,2.34,0.121,18.5,39.5,0.9978,3.2,0.697,10.44,5
10.14,0.435,0.359,3.13,0.163,38.5,54.3,0.9969,3.41,0.529,8.68,5
8.73,0.397,0.265,2.44,0.034,28.2,76.9,0.9984,3.36,0.715,11.11,5
9.07,0.615,0.112,3.24,0.12,11.8,49.4,0.9969,3.12,0.779,10.61,4
10.18,0.429,0.445,3.31,0.053,16.8,47.7,0.9961,3.29,0.509,9.36,5
8.27,0.43,0.215,0.9,0.021,17.2,68.0,0.996,3.47,0.811,9.89,5
7.26,0.641,0.072,1.16,0.092,21.4,57.9,0.9961,3.35,0.701,10.02,4
6.98,0.305,0.0,1.17,0.066,27.6,59.0,0.9966,3.13,0.677,9.36,5
5.16,0.435,0.0,4.12,0.055,8.5,47.7,0.9942,3.26,0.527,12.26,5
10.14,0.522,0.117,1.34,0.108,36.4,37.0,0.9935,3.18,0.868,9.04,5
6.02,0.767,0.234,3.34,0.084,36.4,73.4,0.9981,3.12,0.616,11.02,5
10.19,0.493,0.309,3.01,0.141,10.7,10.9,0.9957,3.14,0.735,10.82,5
6.7,0.668,0.134,1.08,0.028,10.5,14.4,0.9975,3.37,0.63,12.47,8
4.53,0.9,0.695,4.43,0.101,11.0,39.1,0.9974,3.32,0.593,11.85,5
7.08,0.506,0.094,3.27,0.09,6.0,24.6,0.9997,3.21,0.499,8.5,4
7.77,0.317,0.415,1.23,0.035,4.2,25.5,0.9965,3.4,0.737,11.55,6
9.11,0.492,0.019,2.14,0.069,2.8,49.9,0.9932,3.46,0.854,10.99,6
8.83,0.302,0.119,3.42,0.087,33.6,62.9,0.996,3.19,0.331,10.89,5
7.69,0.383,0.164,2.67,0.106,32.3,60.5,0.9978,3.36,0.568,8.79,4
6.32,0.229,0.189,0.81,0.109,43.4,78.6,0.9954,3.26,0.648,10.79,6
8.26,0.331,0.321,5.66,0.038,8.1,43.6,0.9965,3.37,0.601,10.39,4
6.85,0.287,0.189,3.33,0.114,9.4,36.9,0.995,3.32,0.473,11.12,6
6.69,0.558,0.431,2.92,0.182,12.5,41.5,1.0013,3.22,0.626,11.62,5
8.36,0.575,0.18,3.43,0.041,11.6,41.8,0.9982,3.4,0.585,8.94,5
9.46,0.635,0.496,3.6,0.136,15.4,50.4,0.9956,3.51,0.774,11.25,4
12.09,0.551,0.697,2.3,0.026,7.6,31.7,0.9953,3.22,0.74,10.38,5
7.21,0.368,0.148,2.31,0.098,8.5,24.9,0.9978,3.19,0.62,10.78,6
6.77,0.587,0.307,5.8,0.113,10.5,33.9,0.9974,3.58,0.558,11.42,5
6.27,0.468,0.338,0.09,0.103,11.4,24.4,0.9947,3.08,0.487,9.08,3
6.31,0.669,0.326,3.67,0.06,25.4,33.6,0.9936,3.55,0.699,9.47,4
7.83,0.712,0.515,1.01,0.151,16.4,38.3,0.996,3.22,0.792,10.56,5
9.23,0.77,0.284,0.91,0.017,22.5,71.7,0.9949,3.46,0.634,10.87,5
8.09,0.607,0.431,1.85,0.077,14.1,38.6,0.9972,3.22,0.426,8.53,6
10.84,0.571,0.44,3.87,0.091,27.5,69.5,0.9975,3.25,0.841,12.09,7
10.71,0.504,0.344,3.48,0.071,0.6,16.1,0.995,3.49,0.547,10.09,5
6.9,0.655,0.047,0.89,0.097,20.1,69.0,0.9975,3.27,0.559,9.62,4
6.88,0.294,0.377,4.27,0.155,9.3,46.0,0.9971,3.5,0.661,9.01,5
7.57,0.314,0.542,3.16,0.129,16.3,26.6,0.9965,3.6,0.673,10.11,6
8.87,0.287,0.213,0.25,0.039,21.1,38.6,0.9937,3.4,0.46,9.7,5
7.41,0.24,0.492,3.7,0.073,17.5,30.8,0.9975,3.35,0.418,11.59,7
6.81,0.704,0.518,2.91,0.069,34.3,95.7,0.9945,3.57,0.395,12.26,5
8.62,0.361,0.529,0.6,0.087,10.1,29.1,0.9976,3.32,0.831,11.55,6
10.87,0.398,0.112,3.84,0.096,11.2,65.5,0.9999,3.44,0.935,10.21,5
9.73,0.659,0.455,3.44,0.043,30.8,62.9,0.9949,3.13,0.587,10.53,5
7.5,0.269,0.515,1.59,0.004,20.9,63.2,0.9953,3.26,0.522,12.69,8
8.23,0.561,0.093,2.14,0.065,5.6,30.1,0.9935,3.4,0.548,8.63,4
8.99,0.458,0.261,2.87,0.074,14.7,43.2,0.9975,3.15,0.507,11.0,5
5.89,0.355,0.106,3.47,0.147,5.3,46.8,0.9991,2.88,0.661,9.23,5
7.62,0.626,0.409,3.63,0.026,31.3,68.9,0.9967,3.37,0.544,11.85,5
9.89,0.827,0.202,1.36,0.13,22.9,59.9,0.9998,3.43,0.627,10.46,4
10.18,0.485,0.237,2.35,0.044,12.1,52.9,0.9974,3.35,0.637,9.16,5
7.76,0.367,0.203,2.82,0.084,13.9,41.8,0.9944,3.32,0.456,8.5,4
